Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 13:10:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 16:40:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 16:45:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 16:45:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),960,125,4.2,6.3,04.06.2026 16:45:00,Povečan promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),888,102,4.2,9.9,04.06.2026 16:45:00,Zgoščen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 16:55:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 16:55:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),684,128,5.3,4.4,04.06.2026 16:55:00,Povečan promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),984,107,3.6,8.4,04.06.2026 16:55:00,Zgoščen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 22:20:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 22:20:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),60,147,65.4,0.3,04.06.2026 22:20:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),336,120,11.4,2.3,04.06.2026 22:20:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 22:25:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 22:25:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),72,143,49.9,0.4,04.06.2026 22:25:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),252,111,13.6,2.4,04.06.2026 22:25:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 22:30:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 22:30:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),24,150,67.1,0.1,04.06.2026 22:30:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),324,115,12.0,2.6,04.06.2026 22:30:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 22:35:00,Ni podatka
