Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,R Zadobrova(MB-LJsev)MB-LJsev (v)444977.93.901.06.2026 11:35:00Normalen promet,MB-LJsev (v),444,97,7.9,3.9,01.06.2026 11:35:00,Normalen promet
AC-A1,MB-LJsev (p)504867.06.601.06.2026 11:35:00Povečan promet,MB-LJsev (p),504,86,7.0,6.6,01.06.2026 11:35:00,Povečan promet
AC-A1,R Zadobrova(LJsev-MB)LJsev-MB (v)612905.76.201.06.2026 11:35:00Povečan promet,LJsev-MB (v),612,90,5.7,6.2,01.06.2026 11:35:00,Povečan promet
AC-A1,LJsev-MB (p)33610310.42.701.06.2026 11:35:00Normalen promet,LJsev-MB (p),336,103,10.4,2.7,01.06.2026 11:35:00,Normalen promet
AC-A1,R Zadobrova(LJsev-LJvzh)LJsev-LJvzh (v)696815.66.501.06.2026 11:35:00Povečan promet,LJsev-LJvzh (v),696,81,5.6,6.5,01.06.2026 11:35:00,Povečan promet
AC-A1,LJsev-LJvzh (p)528928.63.701.06.2026 11:35:00Normalen promet,LJsev-LJvzh (p),528,92,8.6,3.7,01.06.2026 11:35:00,Normalen promet
AC-A1,R Zadobrova(LJvzh-LJsev)LJvzh - LJsev (v)852884.77.601.06.2026 11:35:00Povečan promet,LJvzh - LJsev (v),852,88,4.7,7.6,01.06.2026 11:35:00,Povečan promet
AC-A1,LJvzh - LJsev (p)49211112.22.301.06.2026 11:35:00Normalen promet,LJvzh - LJsev (p),492,111,12.2,2.3,01.06.2026 11:35:00,Normalen promet
AC-A1,Zadobrova ACsmer LJvzh (v)000.00.001.06.2026 11:35:00Ni podatka,smer LJvzh (v),0,0,0.0,0.0,01.06.2026 11:35:00,Ni podatka
AC-A1,smer LJvzh (p)000.00.001.06.2026 11:35:00Ni podatka,smer LJvzh (p),0,0,0.0,0.0,01.06.2026 11:35:00,Ni podatka
AC-A1,smer MB (v)684745.010.001.06.2026 11:35:00Povečan promet,smer MB (v),684,74,5.0,10.0,01.06.2026 11:35:00,Povečan promet
AC-A1,smer MB (p)3008712.32.901.06.2026 11:35:00Normalen promet,smer MB (p),300,87,12.3,2.9,01.06.2026 11:35:00,Normalen promet
AC-A1,Gotovljesmer LJ (v)7321025.08.501.06.2026 11:35:00Povečan promet,smer LJ (v),732,102,5.0,8.5,01.06.2026 11:35:00,Povečan promet
AC-A1,smer LJ (p)4081279.52.901.06.2026 11:35:00Normalen promet,smer LJ (p),408,127,9.5,2.9,01.06.2026 11:35:00,Normalen promet
AC-A1,smer MB (v)792974.39.201.06.2026 11:35:00Zgoščen promet,smer MB (v),792,97,4.3,9.2,01.06.2026 11:35:00,Zgoščen promet
AC-A1,smer MB (p)7801254.95.101.06.2026 11:35:00Povečan promet,smer MB (p),780,125,4.9,5.1,01.06.2026 11:35:00,Povečan promet
AC-A1,Podmiljsmer LJ (v)816944.59.301.06.2026 11:35:00Povečan promet,smer LJ (v),816,94,4.5,9.3,01.06.2026 11:35:00,Povečan promet
AC-A1,smer LJ (p)4201138.23.101.06.2026 11:35:00Normalen promet,smer LJ (p),420,113,8.2,3.1,01.06.2026 11:35:00,Normalen promet
AC-A1,smer MB (po)3008313.05.001.06.2026 11:35:00Normalen promet,smer MB (po),300,83,13.0,5.0,01.06.2026 11:35:00,Normalen promet
AC-A1,smer MB (v)5041086.64.101.06.2026 11:35:00Povečan promet,smer MB (v),504,108,6.6,4.1,01.06.2026 11:35:00,Povečan promet
AC-A1,smer MB (p)4561278.42.901.06.2026 11:35:00Normalen promet,smer MB (p),456,127,8.4,2.9,01.06.2026 11:35:00,Normalen promet
AC-A1,Verd ACsmer KP (v)9841003.69.901.06.2026 11:35:00Povečan promet,smer KP (v),984,100,3.6,9.9,01.06.2026 11:35:00,Povečan promet
AC-A1,smer KP (p)9241184.06.601.06.2026 11:35:00Povečan promet,smer KP (p),924,118,4.0,6.6,01.06.2026 11:35:00,Povečan promet
AC-A1,smer KP (po)3007810.77.301.06.2026 11:35:00Normalen promet,smer KP (po),300,78,10.7,7.3,01.06.2026 11:35:00,Normalen promet
AC-A1,smer LJ (v)10201013.412.401.06.2026 11:35:00Zgoščen promet,smer LJ (v),1020,101,3.4,12.4,01.06.2026 11:35:00,Zgoščen promet
AC-A1,smer LJ (p)13441172.89.701.06.2026 11:35:00Povečan promet,smer LJ (p),1344,117,2.8,9.7,01.06.2026 11:35:00,Povečan promet
AC-A1,R KozarjeKP-LJjug (v)1152843.313.301.06.2026 11:35:00Zgoščen promet,KP-LJjug (v),1152,84,3.3,13.3,01.06.2026 11:35:00,Zgoščen promet
AC-A1,KP-LJjug (p)7210841.80.501.06.2026 11:35:00Normalen promet,KP-LJjug (p),72,108,41.8,0.5,01.06.2026 11:35:00,Normalen promet
AC-A1,LJjug-KP (v)792894.410.401.06.2026 11:35:00Zgoščen promet,LJjug-KP (v),792,89,4.4,10.4,01.06.2026 11:35:00,Zgoščen promet
AC-A1,LJjug-KP (p)6121066.54.901.06.2026 11:35:00Povečan promet,LJjug-KP (p),612,106,6.5,4.9,01.06.2026 11:35:00,Povečan promet
AC-A1,R MalenceLJjug-LJvzh (v)564756.68.201.06.2026 11:35:00Povečan promet,LJjug-LJvzh (v),564,75,6.6,8.2,01.06.2026 11:35:00,Povečan promet
AC-A1,LJjug-LJvzh (p)564916.55.101.06.2026 11:35:00Povečan promet,LJjug-LJvzh (p),564,91,6.5,5.1,01.06.2026 11:35:00,Povečan promet
AC-A1,LJvzh-LJjug (v)648895.76.601.06.2026 11:35:00Povečan promet,LJvzh-LJjug (v),648,89,5.7,6.6,01.06.2026 11:35:00,Povečan promet
AC-A1,LJvzh-LJjug (p)624946.06.201.06.2026 11:35:00Povečan promet,LJvzh-LJjug (p),624,94,6.0,6.2,01.06.2026 11:35:00,Povečan promet
AC-A1,LJvzh-NM (v)408848.54.901.06.2026 11:35:00Normalen promet,LJvzh-NM (v),408,84,8.5,4.9,01.06.2026 11:35:00,Normalen promet
AC-A1,LJvzh-NM (p)420958.83.601.06.2026 11:35:00Normalen promet,LJvzh-NM (p),420,95,8.8,3.6,01.06.2026 11:35:00,Normalen promet
AC-A1,NM-LJvzh (v)600916.26.201.06.2026 11:35:00Povečan promet,NM-LJvzh (v),600,91,6.2,6.2,01.06.2026 11:35:00,Povečan promet
AC-A1,NM-LJvzh (p)48104118.10.401.06.2026 11:35:00Normalen promet,NM-LJvzh (p),48,104,118.1,0.4,01.06.2026 11:35:00,Normalen promet
AC-A1,Goli vrh ACsmer KP (po)360798.77.301.06.2026 11:35:00Normalen promet,smer KP (po),360,79,8.7,7.3,01.06.2026 11:35:00,Normalen promet
AC-A1,smer KP (v)6721035.46.301.06.2026 11:35:00Povečan promet,smer KP (v),672,103,5.4,6.3,01.06.2026 11:35:00,Povečan promet
AC-A1,smer KP (p)7561224.75.101.06.2026 11:35:00Povečan promet,smer KP (p),756,122,4.7,5.1,01.06.2026 11:35:00,Povečan promet
AC-A1,smer LJ (v)9601033.99.501.06.2026 11:35:00Povečan promet,smer LJ (v),960,103,3.9,9.5,01.06.2026 11:35:00,Povečan promet
AC-A1,smer LJ (p)4801197.13.301.06.2026 11:35:00Normalen promet,smer LJ (p),480,119,7.1,3.3,01.06.2026 11:35:00,Normalen promet
AC-A1,Počivališče Ravneizvoz iz KP844422.21.501.06.2026 11:35:00Normalen promet,izvoz iz KP,84,44,22.2,1.5,01.06.2026 11:35:00,Normalen promet
AC-A1,izvoz iz LJ000.00.001.06.2026 11:35:00Ni podatka,izvoz iz LJ,0,0,0.0,0.0,01.06.2026 11:35:00,Ni podatka
AC-A1,uvoz proti KP000.00.001.06.2026 11:35:00Ni podatka,uvoz proti KP,0,0,0.0,0.0,01.06.2026 11:35:00,Ni podatka
AC-A1,Priključek Kastelecizvoz iz KP963343.32.401.06.2026 11:35:00Normalen promet,izvoz iz KP,96,33,43.3,2.4,01.06.2026 11:35:00,Normalen promet
AC-A1,Razcep Srminizvoz iz LJ604277.61.601.06.2026 11:35:00Normalen promet,izvoz iz LJ,60,42,77.6,1.6,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz proti Škofijam1244560.70.201.06.2026 11:35:00Normalen promet,uvoz proti Škofijam,12,44,560.7,0.2,01.06.2026 11:35:00,Normalen promet
AC-A1,Priključek Črni Kalizvoz iz KP726656.40.701.06.2026 11:35:00Normalen promet,izvoz iz KP,72,66,56.4,0.7,01.06.2026 11:35:00,Normalen promet
AC-A1,izvoz iz LJ3662207.90.401.06.2026 11:35:00Normalen promet,izvoz iz LJ,36,62,207.9,0.4,01.06.2026 11:35:00,Normalen promet
AC-A1,Zima ACsmer LJ (v)732975.110.001.06.2026 11:35:00Povečan promet,smer LJ (v),732,97,5.1,10.0,01.06.2026 11:35:00,Povečan promet
AC-A1,smer LJ (p)7441275.04.901.06.2026 11:35:00Povečan promet,smer LJ (p),744,127,5.0,4.9,01.06.2026 11:35:00,Povečan promet
AC-A1,smer MB (v)7561065.17.501.06.2026 11:35:00Povečan promet,smer MB (v),756,106,5.1,7.5,01.06.2026 11:35:00,Povečan promet
AC-A1,smer MB (p)4321228.22.901.06.2026 11:35:00Normalen promet,smer MB (p),432,122,8.2,2.9,01.06.2026 11:35:00,Normalen promet
AC-A1,Celje Center - Vzhodsmer LJ (v)672985.18.901.06.2026 11:35:00Povečan promet,smer LJ (v),672,98,5.1,8.9,01.06.2026 11:35:00,Povečan promet
AC-A1,smer LJ (p)8041275.05.201.06.2026 11:35:00Povečan promet,smer LJ (p),804,127,5.0,5.2,01.06.2026 11:35:00,Povečan promet
AC-A1,smer MB (v)7441024.98.301.06.2026 11:35:00Povečan promet,smer MB (v),744,102,4.9,8.3,01.06.2026 11:35:00,Povečan promet
AC-A1,smer MB (p)5041226.93.401.06.2026 11:35:00Povečan promet,smer MB (p),504,122,6.9,3.4,01.06.2026 11:35:00,Povečan promet
AC-A1,Arja vas ACsmer LJ (v)9601013.711.301.06.2026 11:35:00Zgoščen promet,smer LJ (v),960,101,3.7,11.3,01.06.2026 11:35:00,Zgoščen promet
AC-A1,smer LJ (p)5401266.73.601.06.2026 11:35:00Povečan promet,smer LJ (p),540,126,6.7,3.6,01.06.2026 11:35:00,Povečan promet
AC-A1,smer MB (v)1116963.412.201.06.2026 11:35:00Zgoščen promet,smer MB (v),1116,96,3.4,12.2,01.06.2026 11:35:00,Zgoščen promet
AC-A1,smer MB (p)8761284.15.801.06.2026 11:35:00Povečan promet,smer MB (p),876,128,4.1,5.8,01.06.2026 11:35:00,Povečan promet
AC-A1,Krtina-Domžale ACsmer LJ (v)972854.212.601.06.2026 11:35:00Zgoščen promet,smer LJ (v),972,85,4.2,12.6,01.06.2026 11:35:00,Zgoščen promet
AC-A1,smer LJ (p)7921066.84.201.06.2026 11:35:00Povečan promet,smer LJ (p),792,106,6.8,4.2,01.06.2026 11:35:00,Povečan promet
AC-A1,Priključek LJ Jugizvoz iz R.Kozarje1445223.63.001.06.2026 11:35:00Normalen promet,izvoz iz R.Kozarje,144,52,23.6,3.0,01.06.2026 11:35:00,Normalen promet
AC-A1,izvoz iz R.Malence (v)372659.34.401.06.2026 11:35:00Normalen promet,izvoz iz R.Malence (v),372,65,9.3,4.4,01.06.2026 11:35:00,Normalen promet
AC-A1,izvoz iz R.Malence (p)3007012.64.301.06.2026 11:35:00Normalen promet,izvoz iz R.Malence (p),300,70,12.6,4.3,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz proti R. Kozarje2285218.54.301.06.2026 11:35:00Normalen promet,uvoz proti R. Kozarje,228,52,18.5,4.3,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz proti R.Malence708524.712.401.06.2026 11:35:00Povečan promet,uvoz proti R.Malence,708,52,4.7,12.4,01.06.2026 11:35:00,Povečan promet
AC-A1,LJ (južna obvoznica)LJ (Barjanska - Dolenjska) (v)1128983.312.101.06.2026 11:35:00Zgoščen promet,LJ (Barjanska - Dolenjska) (v),1128,98,3.3,12.1,01.06.2026 11:35:00,Zgoščen promet
AC-A1,LJ (Barjanska - Dolenjska) (p)8041264.65.301.06.2026 11:35:00Povečan promet,LJ (Barjanska - Dolenjska) (p),804,126,4.6,5.3,01.06.2026 11:35:00,Povečan promet
AC-A1,LJ (Dolenjska - Barjanska) (v)1320912.814.801.06.2026 11:35:00Zgoščen promet,LJ (Dolenjska - Barjanska) (v),1320,91,2.8,14.8,01.06.2026 11:35:00,Zgoščen promet
AC-A1,LJ (Dolenjska - Barjanska) (p)13801183.07.701.06.2026 11:35:00Zgoščen promet,LJ (Dolenjska - Barjanska) (p),1380,118,3.0,7.7,01.06.2026 11:35:00,Zgoščen promet
AC-A1,LJ (vzh. obvoznica)smer Malence (po)2408615.13.601.06.2026 11:35:00Normalen promet,smer Malence (po),240,86,15.1,3.6,01.06.2026 11:35:00,Normalen promet
AC-A1,smer Malence (v)960933.78.801.06.2026 11:35:00Povečan promet,smer Malence (v),960,93,3.7,8.8,01.06.2026 11:35:00,Povečan promet
AC-A1,smer Malence (p)8401144.56.101.06.2026 11:35:00Povečan promet,smer Malence (p),840,114,4.5,6.1,01.06.2026 11:35:00,Povečan promet
AC-A1,smer Zadobrova (v)1080943.412.501.06.2026 11:35:00Zgoščen promet,smer Zadobrova (v),1080,94,3.4,12.5,01.06.2026 11:35:00,Zgoščen promet
AC-A1,smer Zadobrova (p)7921135.26.001.06.2026 11:35:00Povečan promet,smer Zadobrova (p),792,113,5.2,6.0,01.06.2026 11:35:00,Povečan promet
AC-A1,Lopata ACArja vas - Celje (v)7921064.59.001.06.2026 11:35:00Zgoščen promet,Arja vas - Celje (v),792,106,4.5,9.0,01.06.2026 11:35:00,Zgoščen promet
AC-A1,Arja vas - Celje (p)7321275.74.801.06.2026 11:35:00Povečan promet,Arja vas - Celje (p),732,127,5.7,4.8,01.06.2026 11:35:00,Povečan promet
AC-A1,Celje - Arja vas (v)7801024.79.301.06.2026 11:35:00Zgoščen promet,Celje - Arja vas (v),780,102,4.7,9.3,01.06.2026 11:35:00,Zgoščen promet
AC-A1,Celje - Arja vas (p)7561295.04.901.06.2026 11:35:00Povečan promet,Celje - Arja vas (p),756,129,5.0,4.9,01.06.2026 11:35:00,Povečan promet
AC-A1,Hoče ACFram - Slivnica (v)888984.08.201.06.2026 11:35:00Zgoščen promet,Fram - Slivnica (v),888,98,4.0,8.2,01.06.2026 11:35:00,Zgoščen promet
AC-A1,Fram - Slivnica (p)4201239.82.801.06.2026 11:35:00Normalen promet,Fram - Slivnica (p),420,123,9.8,2.8,01.06.2026 11:35:00,Normalen promet
AC-A1,Slivnica - Fram (v)840953.910.801.06.2026 11:35:00Zgoščen promet,Slivnica - Fram (v),840,95,3.9,10.8,01.06.2026 11:35:00,Zgoščen promet
AC-A1,Slivnica - Fram (p)7321236.24.401.06.2026 11:35:00Povečan promet,Slivnica - Fram (p),732,123,6.2,4.4,01.06.2026 11:35:00,Povečan promet
AC-A1,Dekani ACČrni Kal - Srmin (v)864933.710.201.06.2026 11:35:00Zgoščen promet,Črni Kal - Srmin (v),864,93,3.7,10.2,01.06.2026 11:35:00,Zgoščen promet
AC-A1,Črni Kal - Srmin (p)4441057.73.601.06.2026 11:35:00Normalen promet,Črni Kal - Srmin (p),444,105,7.7,3.6,01.06.2026 11:35:00,Normalen promet
AC-A1,Srmin - Črni Kal (v)852924.09.001.06.2026 11:35:00Zgoščen promet,Srmin - Črni Kal (v),852,92,4.0,9.0,01.06.2026 11:35:00,Zgoščen promet
AC-A1,Srmin - Črni Kal (p)4561148.23.301.06.2026 11:35:00Normalen promet,Srmin - Črni Kal (p),456,114,8.2,3.3,01.06.2026 11:35:00,Normalen promet
AC-A1,Priključek Divačaizvoz KP1086133.21.601.06.2026 11:35:00Normalen promet,izvoz KP,108,61,33.2,1.6,01.06.2026 11:35:00,Normalen promet
AC-A1,izvoz LJ1325027.02.601.06.2026 11:35:00Normalen promet,izvoz LJ,132,50,27.0,2.6,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz KP606761.80.901.06.2026 11:35:00Normalen promet,uvoz KP,60,67,61.8,0.9,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz LJ846738.01.201.06.2026 11:35:00Normalen promet,uvoz LJ,84,67,38.0,1.2,01.06.2026 11:35:00,Normalen promet
AC-A1,Čebulovica ACGabrk - Senožeče (v)000.00.001.06.2026 11:35:00Ni podatka,Gabrk - Senožeče (v),0,0,0.0,0.0,01.06.2026 11:35:00,Ni podatka
AC-A1,Gabrk - Senožeče (p)000.00.001.06.2026 11:35:00Ni podatka,Gabrk - Senožeče (p),0,0,0.0,0.0,01.06.2026 11:35:00,Ni podatka
AC-A1,Senožeče - Gabrk (v)8641014.010.601.06.2026 11:35:00Zgoščen promet,Senožeče - Gabrk (v),864,101,4.0,10.6,01.06.2026 11:35:00,Zgoščen promet
AC-A1,Senožeče - Gabrk (p)7201315.24.601.06.2026 11:35:00Povečan promet,Senožeče - Gabrk (p),720,131,5.2,4.6,01.06.2026 11:35:00,Povečan promet
AC-A1,Priključek Kozinaizvoz KP1685423.03.601.06.2026 11:35:00Normalen promet,izvoz KP,168,54,23.0,3.6,01.06.2026 11:35:00,Normalen promet
AC-A1,izvoz LJ1325829.22.201.06.2026 11:35:00Normalen promet,izvoz LJ,132,58,29.2,2.2,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz KP1924521.05.601.06.2026 11:35:00Normalen promet,uvoz KP,192,45,21.0,5.6,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz LJ1564624.22.901.06.2026 11:35:00Normalen promet,uvoz LJ,156,46,24.2,2.9,01.06.2026 11:35:00,Normalen promet
AC-A1,Ravbarkomanda ACPostojna - Unec (v)888994.011.701.06.2026 11:35:00Zgoščen promet,Postojna - Unec (v),888,99,4.0,11.7,01.06.2026 11:35:00,Zgoščen promet
AC-A1,Postojna - Unec (p)10321243.66.901.06.2026 11:35:00Povečan promet,Postojna - Unec (p),1032,124,3.6,6.9,01.06.2026 11:35:00,Povečan promet
AC-A1,Unec - Postojna (v)000.00.001.06.2026 11:35:00Ni podatka,Unec - Postojna (v),0,0,0.0,0.0,01.06.2026 11:35:00,Ni podatka
AC-A1,Unec - Postojna (p)000.00.001.06.2026 11:35:00Ni podatka,Unec - Postojna (p),0,0,0.0,0.0,01.06.2026 11:35:00,Ni podatka
AC-A1,Priključek Unecizvoz iz KP724053.92.001.06.2026 11:35:00Normalen promet,izvoz iz KP,72,40,53.9,2.0,01.06.2026 11:35:00,Normalen promet
AC-A1,izvoz iz LJ2764111.66.601.06.2026 11:35:00Normalen promet,izvoz iz LJ,276,41,11.6,6.6,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz proti KP363688.50.801.06.2026 11:35:00Normalen promet,uvoz proti KP,36,36,88.5,0.8,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz proti LJ2404814.84.701.06.2026 11:35:00Normalen promet,uvoz proti LJ,240,48,14.8,4.7,01.06.2026 11:35:00,Normalen promet
AC-A1,Priključek Postojnaizvoz KP1324925.02.101.06.2026 11:35:00Normalen promet,izvoz KP,132,49,25.0,2.1,01.06.2026 11:35:00,Normalen promet
AC-A1,izvoz LJ (v)492516.39.601.06.2026 11:35:00Povečan promet,izvoz LJ (v),492,51,6.3,9.6,01.06.2026 11:35:00,Povečan promet
AC-A1,izvoz LJ (p)000.00.001.06.2026 11:35:00Ni prometa,izvoz LJ (p),0,0,0.0,0.0,01.06.2026 11:35:00,Ni prometa
AC-A1,uvoz KP000.00.001.06.2026 11:35:00Ni prometa,uvoz KP,0,0,0.0,0.0,01.06.2026 11:35:00,Ni prometa
AC-A1,uvoz LJ468547.88.201.06.2026 11:35:00Normalen promet,uvoz LJ,468,54,7.8,8.2,01.06.2026 11:35:00,Normalen promet
AC-A1,Priključek Razdrtoizvoz iz KP604462.71.101.06.2026 11:35:00Normalen promet,izvoz iz KP,60,44,62.7,1.1,01.06.2026 11:35:00,Normalen promet
AC-A1,izvoz iz LJ243694.30.601.06.2026 11:35:00Normalen promet,izvoz iz LJ,24,36,94.3,0.6,01.06.2026 11:35:00,Normalen promet
AC-A1,uvoz proti KP2163918.45.701.06.2026 11:35:00Normalen promet,uvoz proti KP,216,39,18.4,5.7,01.06.2026 11:35:00,Normalen promet
